ID,p_val,log2FC,pct.1,pct.2,Pvalue,,,,
Stx8,0.051316138,-0.012354467,0.998,1,1,,,,
Srxn1,0.027497962,-0.012355936,0.133,0.159,1,,,,
Rap1gap,0.318191962,-0.012359611,0.025,0.03,1,,,,
Zfhx4,0.072781836,-0.012385468,0.022,0.032,1,,,,
Efna5,0.002366566,-0.012386665,0.943,0.96,1,,,,
Rnf141,0.452783169,-0.012399804,0.089,0.096,1,,,,
Cmya5,0.181854203,-0.012409765,0.003,0.005,1,,,,
Fignl2,0.204879706,-0.012411559,0.015,0.02,1,,,,
Apex1,0.21563222,-0.012426719,0.937,0.954,1,,,,
Nav3,0.916234631,-0.012428336,0.871,0.868,1,,,,
Disp1,1.62E-07,-0.012446897,0.14,0.213,0.003578293,,,,
Sipa1l2,0.440165747,-0.012449242,0.261,0.277,1,,,,
Abca8b,0.028585268,-0.012450781,0.007,0.013,1,,,,
Rep15,0.220311947,-0.012450781,0.008,0.012,1,,,,
Arhgef25,0.014951011,-0.012451489,0.021,0.034,1,,,,
Armcx1,0.077307884,-0.012451489,0.021,0.03,1,,,,
Cyb5d2,0.196768611,-0.012490581,0.032,0.04,1,,,,
Rnf208,0.032217558,-0.012505126,0.002,0.006,1,,,,
Zfp280b,0.129622873,-0.01251726,0.019,0.027,1,,,,
Yipf3,0.438695276,-0.012518319,0.954,0.958,1,,,,
Acap3,0.552825081,-0.012528529,0.037,0.04,1,,,,
Miga1,0.123188465,-0.012529841,0.028,0.037,1,,,,
Txnl4b,0.326205395,-0.012529841,0.025,0.03,1,,,,
Mcpt4,0.00865656,-0.012532679,0,0.003,1,,,,
Slc17a1,0.189589376,-0.012532679,0,0.001,1,,,,
Zfp229,0.030779289,-0.012545625,0.006,0.013,1,,,,
Riiad1,0.164983387,-0.012558285,0.009,0.014,1,,,,
Tm7sf2,0.0259037,-0.012570668,0.014,0.024,1,,,,
Nudt12,0.001164993,-0.012573184,0.003,0.011,1,,,,
4933421D24Rik,0.372604242,-0.012573184,0.004,0.005,1,,,,
Sac3d1,0.367612735,-0.012577576,0.045,0.052,1,,,,
Mterf2,0.034225171,-0.012585596,0.01,0.017,1,,,,
Cspg4,0.061650351,-0.012585596,0.011,0.017,1,,,,
Gm5914,0.117343197,-0.012585596,0.009,0.015,1,,,,
Gm36107,0.024644294,-0.012601,0.001,0.004,1,,,,
Rasl10b,0.031116318,-0.012601,0.002,0.005,1,,,,
Skil,0.721454877,-0.012601,0.837,0.803,1,,,,
Gzf1,0.998099034,-0.012609037,0.108,0.107,1,,,,
Pkp2,0.118604177,-0.01260961,0.02,0.028,1,,,,
Taf4,0.784719213,-0.012610879,0.055,0.057,1,,,,
Scaf1,0.890035258,-0.012617606,0.822,0.817,1,,,,
Aldh1a3,0.985847218,-0.012625049,0.01,0.01,1,,,,
AY036118,0.000775229,-0.012655108,0.991,0.982,1,,,,
Rdh13,0.387115277,-0.012660767,0.054,0.061,1,,,,
Ccdc103,0.016035965,-0.012669052,0.002,0.007,1,,,,
Cks1b,0.184003393,-0.012670097,0.935,0.951,1,,,,
Gm12979,0.159874987,-0.012680429,0.005,0.009,1,,,,
Fam184b,0.180462475,-0.012680429,0.009,0.013,1,,,,
Pgam1,0.00159415,-0.012686024,1,1,1,,,,
Wfdc18,0.997738557,-0.012696688,0.022,0.022,1,,,,
Flcn,0.330840931,-0.012734805,0.105,0.116,1,,,,
Thoc7,0.015168254,-0.012735227,0.995,0.99,1,,,,
Ppp5c,0.238941347,-0.012763071,0.958,0.958,1,,,,
Zfp607a,0.109361346,-0.012767952,0.015,0.022,1,,,,
Tasp1,0.222865294,-0.012800614,0.074,0.085,1,,,,
Gm10800,0.112518903,-0.012804358,0.002,0.005,1,,,,
Gm16537,0.218920409,-0.012833215,0.002,0.004,1,,,,
4930479D17Rik,0.240730289,-0.012833215,0.002,0.003,1,,,,
Fam81a,0.128145362,-0.012842771,0.009,0.014,1,,,,
Srrd,0.386432927,-0.012857625,0.08,0.089,1,,,,
Melk,0.289167151,-0.012870202,0.023,0.029,1,,,,
Gsdmc4,0.241308293,-0.012871615,0.004,0.006,1,,,,
H2-Oa,0.494847472,-0.012871615,0.004,0.005,1,,,,
Gm17106,0.083878319,-0.012906723,0.024,0.034,1,,,,
Vldlr,0.147066366,-0.012918107,0.018,0.024,1,,,,
Agmo,0.576719578,-0.012918107,0.012,0.014,1,,,,
Itgb8,0.79094387,-0.012918107,0.011,0.011,1,,,,
Crat,0.237847878,-0.012932769,0.104,0.117,1,,,,
Hist1h2bb,0.283404077,-0.01294692,0.011,0.015,1,,,,
Gm10282,0.587259787,-0.012955049,0.017,0.019,1,,,,
Fkbp14,0.071525252,-0.012983845,0.018,0.027,1,,,,
Mcm3ap,0.27425018,-0.012989388,0.074,0.085,1,,,,
C2cd2,0.478270518,-0.0130142,0.053,0.058,1,,,,
Rapgef4,9.77E-16,-0.013014656,0.999,0.998,2.16E-11,,,,
Sycp3,0.029050167,-0.013064852,0.001,0.005,1,,,,
Gm30097,0.089041955,-0.013064852,0.004,0.007,1,,,,
Olfr323,0.218689037,-0.013064852,0.002,0.004,1,,,,
Usp20,0.080018451,-0.013069745,0.028,0.038,1,,,,
Myo1h,0.06080124,-0.013071818,0.009,0.015,1,,,,
Rabep1,0.00165454,-0.013090954,0.997,0.996,1,,,,
N4bp3,0.13974305,-0.013091815,0.027,0.036,1,,,,
Cwc25,0.976522836,-0.013110138,0.893,0.887,1,,,,
Gm5127,0.710699671,-0.013114568,0.012,0.011,1,,,,
Farsa,0.015743534,-0.013122419,0.895,0.921,1,,,,
Wnk4,0.105543466,-0.013126901,0.029,0.038,1,,,,
Cntnap5b,0.96290417,-0.013131827,0.002,0.002,1,,,,
Kank2,0.034481391,-0.013138716,0.035,0.048,1,,,,
Rsu1,0.59457759,-0.013140812,0.989,0.983,1,,,,
Mocs2,0.350838362,-0.013150047,0.953,0.959,1,,,,
Sox5os3,0.044720639,-0.01316225,0,0.003,1,,,,
Cdkn2aip,0.282695238,-0.013166197,0.057,0.065,1,,,,
Dlk2,0.030853428,-0.013168148,0.006,0.013,1,,,,
Mylk,0.796296912,-0.01317791,0.966,0.97,1,,,,
Gm5089,0.114553166,-0.013179556,0.014,0.02,1,,,,
Gm9949,0.149370815,-0.013198539,0.004,0.007,1,,,,
Mindy1,7.65E-16,-0.013198963,0.303,0.489,1.69E-11,,,,
Ttk,0.308644572,-0.013209333,0.015,0.019,1,,,,
Gm14548,0.179598954,-0.013215842,0.039,0.048,1,,,,
Mtfr1,0.031872004,-0.013225825,0.124,0.15,1,,,,
Gm49179,0.000821967,-0.013229213,0.002,0.009,1,,,,
Syp,0.016030161,-0.013229213,0.002,0.007,1,,,,
Ap5m1,0.129725331,-0.013234353,0.039,0.05,1,,,,
Gm42726,0.855488053,-0.013269702,0.008,0.009,1,,,,
Rgmb,0.455949298,-0.013287547,0.03,0.034,1,,,,
Zfp574,0.234898126,-0.013295914,0.041,0.049,1,,,,
Cdc37l1,0.207486255,-0.013307832,0.915,0.923,1,,,,
Nhs,0.000334534,-0.013327124,0.001,0.007,1,,,,
Lama5,0.015050404,-0.013331185,0.007,0.015,1,,,,
Dnhd1,0.022209065,-0.013342839,0.023,0.035,1,,,,
Gm47754,0.689274811,-0.013342839,0.015,0.017,1,,,,
Med9,0.523231079,-0.013346251,0.959,0.961,1,,,,
Catsperd,0.016161412,-0.013350198,0.027,0.041,1,,,,
Gm11361,0.133263078,-0.013350198,0.031,0.04,1,,,,
Fam83f,0.065329179,-0.01336067,0.035,0.048,1,,,,
AC163685.1,0.145808537,-0.013365996,0.007,0.011,1,,,,
4921523L03Rik,0.063060957,-0.013393811,0.002,0.005,1,,,,
Bmp8b,0.063575551,-0.013393811,0.002,0.005,1,,,,
Gm27167,0.129979548,-0.013393811,0.001,0.003,1,,,,
6030442K20Rik,0.176481758,-0.01339712,0.006,0.01,1,,,,
Epn2,0.279006773,-0.01340784,0.701,0.715,1,,,,
BC025920,0.320655215,-0.01340965,0.021,0.026,1,,,,
Cdca7l,0.366414855,-0.013411229,0.89,0.895,1,,,,
Tnfrsf8,0.082197537,-0.013466234,0.043,0.056,1,,,,
Rdh10,0.155324843,-0.01347016,0.021,0.028,1,,,,
Zfp692,0.248197097,-0.013474808,0.033,0.04,1,,,,
Gpr31b,0.003328766,-0.013492236,0,0.003,1,,,,
Hif3a,0.063489417,-0.013492236,0,0.001,1,,,,
Ubiad1,0.120870054,-0.013498745,0.016,0.023,1,,,,
Htatsf1,0.816116237,-0.013506259,0.772,0.772,1,,,,
Snrnp25,0.173854982,-0.013512388,0.947,0.957,1,,,,
Hes7,0.08925791,-0.013526402,0.004,0.007,1,,,,
Gm20139,0.448561811,-0.013528226,0.005,0.007,1,,,,
Col4a5,0.258242112,-0.01353001,0.018,0.023,1,,,,
Crlf1,0.056485679,-0.013531755,0.019,0.029,1,,,,
Psmd12,0.002009917,-0.013532873,1,0.997,1,,,,
Pim2,0.10518107,-0.013533463,0.024,0.033,1,,,,
Naaladl2,0.045387779,-0.013560119,0.007,0.013,1,,,,
Ddx56,0.088081735,-0.013562268,0.873,0.889,1,,,,
Ino80dos,0.517183889,-0.013564347,0.021,0.024,1,,,,
Hspa2,0.405854447,-0.013570816,0.041,0.047,1,,,,
Pla2g5,0.008646208,-0.013592308,0.004,0.01,1,,,,
Srd5a3,0.425933769,-0.013592856,0.13,0.14,1,,,,
Orc1,0.349345231,-0.013594464,0.017,0.021,1,,,,
Rpl36a-ps1,0.18824278,-0.013597528,0.028,0.036,1,,,,
Dusp12,0.294868607,-0.013618274,0.703,0.715,1,,,,
Fam221a,0.682696219,-0.013625529,0.008,0.009,1,,,,
Fanci,0.542976871,-0.013626247,0.016,0.018,1,,,,
Zmat3,0.165822233,-0.01363024,0.039,0.048,1,,,,
Caly,0.00253597,-0.013636905,0.079,0.11,1,,,,
Mageh1,0.481626448,-0.013658319,0.014,0.017,1,,,,
Adck5,0.422198405,-0.013660333,0.041,0.046,1,,,,
Ciao3,0.324136325,-0.013661543,0.058,0.066,1,,,,
Babam2,0.385961809,-0.013668968,0.997,0.997,1,,,,
Mapk12,0.060390714,-0.013690686,0.011,0.017,1,,,,
Dctn6,0.062794,-0.013690686,0.696,0.728,1,,,,
B230217C12Rik,0.123477323,-0.013690686,0.025,0.033,1,,,,
Prokr1,0.205327158,-0.013690686,0.015,0.02,1,,,,
Dock9,0.327429563,-0.013722637,0.018,0.023,1,,,,
Grik4,0.009200691,-0.013723351,0.007,0.016,1,,,,
Tmc1,0.581455464,-0.01372372,0.001,0.001,1,,,,
Nxt2,0.204337209,-0.013752833,0.027,0.034,1,,,,
Polr3d,0.123499457,-0.013802862,0.071,0.085,1,,,,
Drap1,0.029998023,-0.013804775,0.997,0.997,1,,,,
Tmem138,0.056253706,-0.013814751,0.031,0.043,1,,,,
Setmar,0.03590896,-0.013820244,0.011,0.019,1,,,,
Tedc2,0.156427122,-0.013820244,0.011,0.016,1,,,,
2210011C24Rik,0.303969202,-0.013820244,0.008,0.011,1,,,,
Dnajb12,0.370426954,-0.013820244,0.113,0.123,1,,,,
Cenpa,5.52E-07,-0.013849838,0.728,0.856,0.012196414,,,,
Gm20274,0.120035141,-0.013851588,0.012,0.018,1,,,,
Cachd1,0.004361775,-0.013855206,0.003,0.009,1,,,,
Gm16189,0.016682098,-0.013855206,0.003,0.008,1,,,,
Plin1,0.864143719,-0.013855206,0.002,0.001,1,,,,
Tnpo2,0.240047067,-0.013858669,0.073,0.084,1,,,,
Kif20a,0.105969978,-0.013882529,0.019,0.027,1,,,,
Trim71,0.038949555,-0.013884649,0.011,0.019,1,,,,
Zc2hc1c,0.007132678,-0.013889031,0,0.004,1,,,,
Faap24,0.142882142,-0.013906062,0.033,0.042,1,,,,
Zfp239,0.020036765,-0.013913076,0.019,0.03,1,,,,
Palb2,0.240137769,-0.013915517,0.015,0.02,1,,,,
Bud23,0.11682415,-0.013916012,0.917,0.935,1,,,,
Slc38a2,1.67E-06,-0.013916279,0.996,0.998,0.037030585,,,,
Snap29,0.100289382,-0.013945234,0.168,0.192,1,,,,
Ranbp17,0.083847747,-0.013945991,0.02,0.029,1,,,,
Sema4c,0.09647403,-0.013945991,0.018,0.026,1,,,,
Nanos1,0.03067883,-0.013951683,0.006,0.013,1,,,,
Dlx6os1,0.00044571,-0.013954626,0.002,0.011,1,,,,
Abcb6,0.024228444,-0.013973017,0.028,0.041,1,,,,
Mmachc,0.061456054,-0.013982398,0.012,0.019,1,,,,
Serp2,0.002282307,-0.013985665,0.006,0.015,1,,,,
Armt1,0.491444008,-0.013995921,0.038,0.042,1,,,,
Cyb5r2,0.256165526,-0.014016299,0.011,0.015,1,,,,
Ints2,0.412416083,-0.014017622,0.05,0.056,1,,,,
Shld1,0.209723187,-0.014041685,0.053,0.062,1,,,,
Gm10131,0.265636228,-0.014068091,0.026,0.032,1,,,,
Sys1,0.021617959,-0.014108306,0.996,0.995,1,,,,
Vps25,0.392317969,-0.014110426,0.013,0.016,1,,,,
Csrp2,0.460650002,-0.014130625,0.969,0.967,1,,,,
Zfp354c,0.280181524,-0.014144782,0.011,0.015,1,,,,
Zfp423,0.129377705,-0.014149871,0.006,0.01,1,,,,
Bbs2,0.032296413,-0.014163654,0.021,0.032,1,,,,
Nuggc,0.062236866,-0.014184957,0.001,0.004,1,,,,
Kcnn3,0.280521168,-0.014184957,0.001,0.002,1,,,,
Reep4,0.48561544,-0.014184957,0.08,0.087,1,,,,
Cdc42bpa,0.097025779,-0.014186073,0.584,0.608,1,,,,
Epop,0.021578205,-0.014202984,0.017,0.028,1,,,,
Primpol,0.356914697,-0.014203644,0.042,0.048,1,,,,
Atm,0.946463085,-0.014210722,0.463,0.462,1,,,,
Fahd2a,0.072447175,-0.014214445,0.034,0.045,1,,,,
Nudt17,0.047992833,-0.014249762,0.004,0.009,1,,,,
Oat,0.032146763,-0.014274895,0.996,0.996,1,,,,
Fdxacb1,0.1140246,-0.014287535,0.024,0.032,1,,,,
Axin2,0.081498491,-0.014307396,0.014,0.021,1,,,,
Gm12703,0.726972536,-0.014308423,0.022,0.02,1,,,,
Zbtb9,0.02140758,-0.014315013,0.027,0.04,1,,,,
Acy3,0.009687461,-0.014328623,0.017,0.03,1,,,,
H1fx,0.04277623,-0.014328623,0.018,0.028,1,,,,
1300002E11Rik,0.001903642,-0.014341521,0.055,0.081,1,,,,
Nup155,0.426464108,-0.014347293,0.067,0.074,1,,,,
Stoml3,0.062212936,-0.014350189,0.001,0.004,1,,,,
Depdc1a,0.095712379,-0.014363547,0.014,0.021,1,,,,
Mical1,0.044806942,-0.014371939,0.064,0.081,1,,,,
Prag1,0.202399063,-0.014371939,0.061,0.072,1,,,,
Cd101,0.661477984,-0.014398789,0.009,0.011,1,,,,
Ranbp1,0.001156599,-0.014421357,0.999,1,1,,,,
Zfp874a,0.143030354,-0.014434351,0.011,0.017,1,,,,
Vsig4,0.003328767,-0.014451156,0,0.003,1,,,,
Gm15124,0.189589376,-0.014451156,0,0.001,1,,,,
Zfp938,0.247035487,-0.014455303,0.037,0.045,1,,,,
Guca1b,0.031675548,-0.01447899,0.003,0.007,1,,,,
Flrt1,0.032310612,-0.01447899,0.002,0.007,1,,,,
Zfp248,0.131097004,-0.014497463,0.017,0.023,1,,,,
Mmgt1,0.2050301,-0.014498123,0.049,0.059,1,,,,
2900041M22Rik,0.016341402,-0.014506459,0.007,0.015,1,,,,
Prox1,0.018827508,-0.014506459,0.009,0.017,1,,,,
B930059L03Rik,0.045461847,-0.014506459,0.004,0.009,1,,,,
Zfp281,0.088535426,-0.014514111,0.078,0.095,1,,,,
Klhl35,0.0045048,-0.014515658,0.001,0.005,1,,,,
Ccdc136,0.013627323,-0.014541601,0.026,0.04,1,,,,
Smug1,0.191820375,-0.014550865,0.019,0.025,1,,,,
Tead4,0.142221239,-0.014560332,0.015,0.021,1,,,,
Vars2,0.076386465,-0.014567571,0.026,0.036,1,,,,
A930033M14Rik,0.526978009,-0.014570011,0.004,0.003,1,,,,
Trim3,0.041224344,-0.014578296,0.059,0.077,1,,,,
Rbpjl,0.031417937,-0.014579907,0.002,0.005,1,,,,
1810019N24Rik,0.119892713,-0.014579907,0.002,0.005,1,,,,
Tbx2,0.184043014,-0.014591676,0.928,0.926,1,,,,
Nek8,0.086048866,-0.014596657,0.012,0.019,1,,,,
Pigo,0.193795304,-0.014596657,0.011,0.016,1,,,,
Capn6,0.012115805,-0.014622961,0.014,0.026,1,,,,
Mfap3l,0.004328525,-0.014633316,0.005,0.014,1,,,,
Hp1bp3,0.059314359,-0.01463466,0.98,0.981,1,,,,
Haus5,0.180526693,-0.01463858,0.021,0.028,1,,,,
Mlf1,0.045502578,-0.014641858,0.571,0.607,1,,,,
Hhatl,0.015544794,-0.014643904,0.004,0.01,1,,,,
Naa10,0.108394247,-0.014645947,0.896,0.923,1,,,,
Ube2d1,0.130973582,-0.01465595,0.091,0.107,1,,,,
Xpnpep1,0.506586261,-0.014663251,0.987,0.983,1,,,,
Ttc23,0.067203066,-0.014664005,0.028,0.038,1,,,,
Gm4631,0.064009503,-0.014670312,0.007,0.013,1,,,,
Gm42869,0.064085248,-0.014670312,0.005,0.01,1,,,,
Rab26os,0.138863185,-0.014674562,0.019,0.026,1,,,,
Lig4,0.030510667,-0.014685349,0.015,0.025,1,,,,
Nmnat2,0.01494005,-0.01470765,0.004,0.011,1,,,,
Otub2,0.041759493,-0.01470765,0.005,0.01,1,,,,
A730085K08Rik,0.056479526,-0.014722103,0.012,0.02,1,,,,
Ggt1,0.00826691,-0.014745336,0.002,0.008,1,,,,
Mansc1,0.218689075,-0.014745336,0.002,0.004,1,,,,
Prpf40b,0.031845645,-0.014785497,0.028,0.04,1,,,,
Ttc12,0.061938484,-0.014797326,0.023,0.033,1,,,,
Mon1a,0.288687823,-0.014799217,0.054,0.062,1,,,,
Gtsf2,0.063121517,-0.014809054,0.002,0.005,1,,,,
Mrps2,0.181184496,-0.014810074,0.043,0.052,1,,,,
Gm29266,0.007132678,-0.014847314,0,0.004,1,,,,
Zscan12,0.02685884,-0.014858362,0.02,0.032,1,,,,
Mr1,0.107288512,-0.014869739,0.03,0.04,1,,,,
Gm47689,0.008631799,-0.014872523,0.003,0.009,1,,,,
Nop16,0.078944145,-0.01488275,0.719,0.75,1,,,,
Tmem186,0.0812498,-0.014895283,0.019,0.028,1,,,,
Lrrc14b,0.097469304,-0.014897403,0.007,0.012,1,,,,
Ap2b1,0.003511705,-0.014904239,0.998,0.999,1,,,,
Tfpt,0.052703478,-0.014906345,0.212,0.242,1,,,,
Xcl1,0.903385696,-0.014911003,0.001,0.001,1,,,,
Proser3,0.046621805,-0.014921959,0.01,0.017,1,,,,
Usp1,0.297299864,-0.014923909,0.939,0.958,1,,,,
Ccser1,0.024526149,-0.014935744,0.005,0.011,1,,,,
Hsdl1,0.314859254,-0.014992898,0.101,0.111,1,,,,
Zfp13,0.990077045,-0.014993747,0.015,0.015,1,,,,
Hoxb3,0.158950123,-0.014998719,0.005,0.009,1,,,,
Gcn1,0.346221463,-0.015004866,0.894,0.9,1,,,,
Fbxo25,0.032182915,-0.015006741,0.043,0.058,1,,,,
A230072C01Rik,0.366646632,-0.015008054,0.012,0.015,1,,,,
Insig2,0.067321722,-0.015008679,0.996,0.996,1,,,,
Bbs7,0.398640279,-0.01503154,0.018,0.022,1,,,,
Abitram,0.254822141,-0.015048371,0.035,0.042,1,,,,
Gba2,0.022216796,-0.015054727,0.015,0.026,1,,,,
Hgh1,0.138795485,-0.015054727,0.02,0.028,1,,,,
Acsf2,0.048289663,-0.015056372,0.041,0.054,1,,,,
Vpreb1,0.001901266,-0.015076909,0.001,0.006,1,,,,
Pa2g4,5.33E-05,-0.015078474,0.993,0.986,1,,,,
Zfp784,0.016789376,-0.015100576,0.003,0.008,1,,,,
Irs1,0.06948031,-0.015100576,0.007,0.012,1,,,,
Gm14010,0.125775567,-0.015140068,0.002,0.004,1,,,,
Pgap3,0.004350468,-0.015163275,0.005,0.013,1,,,,
Zfp263,0.516202296,-0.015165834,0.106,0.113,1,,,,
Ufsp2,0.791782377,-0.015166076,0.961,0.954,1,,,,
Gm16867,0.045594461,-0.015169747,0.009,0.015,1,,,,
Dnal1,0.151983083,-0.015175997,0.025,0.032,1,,,,
Rbck1,0.160404534,-0.015176469,0.941,0.963,1,,,,
Stoml2,0.372581869,-0.015183901,0.947,0.953,1,,,,
Faf2,0.029042727,-0.01518532,0.971,0.98,1,,,,
Txlnb,0.241120637,-0.015186178,0.008,0.011,1,,,,
Pcdh17,0.04333291,-0.015187876,0.027,0.039,1,,,,
Mcm10,0.380033876,-0.01519804,0.025,0.03,1,,,,
Gm5617,0.503915823,-0.015200453,0.802,0.815,1,,,,
1700029J07Rik,0.031637208,-0.015202979,0.003,0.007,1,,,,
Gm46411,0.165496314,-0.015208785,0.009,0.014,1,,,,
BC003965,0.069524687,-0.015225044,0.432,0.468,1,,,,
Plch2,0.127707927,-0.015243054,0.001,0.003,1,,,,
Atxn7l1os1,0.210011898,-0.015248181,0.007,0.011,1,,,,
Oas1c,0.209964218,-0.015262535,0.03,0.037,1,,,,
Qrich2,0.495076519,-0.015265645,0.004,0.005,1,,,,
Ccpg1os,0.04579606,-0.015270344,0.015,0.023,1,,,,
Fhod1,0.50296239,-0.015290527,0.101,0.107,1,,,,
Dpagt1,0.45024279,-0.015291013,0.086,0.093,1,,,,
Slc16a13,0.240262405,-0.015292221,0.015,0.02,1,,,,
Ablim2,0.063531495,-0.015305932,0.002,0.005,1,,,,
Aurkaip1,0.002817336,-0.015316453,0.999,0.999,1,,,,
Cdyl,0.00198957,-0.015323912,0.307,0.372,1,,,,
Sfn,0.059225843,-0.01534991,0.005,0.011,1,,,,
Mtbp,0.002198004,-0.015364866,0.044,0.068,1,,,,
Gm46328,0.334224319,-0.015390243,0.004,0.006,1,,,,
Foxa3,0.003328767,-0.015409439,0,0.003,1,,,,
Taf3,0.091368978,-0.01541724,0.913,0.934,1,,,,
Naa40,0.404849364,-0.01543002,0.08,0.087,1,,,,
Hcfc1r1,0.404289451,-0.015452845,0.986,0.982,1,,,,
Plekhh3,0.02119231,-0.015453608,0.015,0.026,1,,,,
Gm43305,0.062512289,-0.015453608,0.011,0.017,1,,,,
1700047M11Rik,0.499273825,-0.015472035,0.001,0.002,1,,,,
Zfp780b,0.043257663,-0.015475212,0.022,0.033,1,,,,
Zfp35,0.639136771,-0.0154762,0.034,0.036,1,,,,
Gbgt1,0.014931909,-0.015493092,0.004,0.011,1,,,,
Trib2,0.141792942,-0.015513874,0.009,0.013,1,,,,
Gm41409,0.787002074,-0.01551423,0.012,0.013,1,,,,
Xylb,0.011137993,-0.015534386,0.009,0.018,1,,,,
Galm,0.310187087,-0.015534386,0.283,0.299,1,,,,
Mdk,0.371831953,-0.015534386,0.009,0.011,1,,,,
Dcp1b,0.202147194,-0.015568183,0.119,0.134,1,,,,
Cntnap2,0.016623385,-0.015596492,0.003,0.008,1,,,,
Tbcel,0.087499025,-0.015619986,0.081,0.099,1,,,,
Apool,0.111096268,-0.01563089,0.111,0.13,1,,,,
Firre,0.370034137,-0.015634045,0.364,0.379,1,,,,
Zfp811,0.112277741,-0.015638378,0,0.002,1,,,,
C130050O18Rik,0.837966034,-0.015656494,0.062,0.06,1,,,,
Ssh1,0.158895705,-0.015667215,0.095,0.11,1,,,,
Cyp4f16,0.374728671,-0.015677439,0.067,0.074,1,,,,
D5Ertd605e,0.001795956,-0.015697531,0.011,0.024,1,,,,
Tkfc,0.164249616,-0.015713614,0.024,0.032,1,,,,
Polr3a,0.336870546,-0.015722651,0.047,0.054,1,,,,
Elk1,0.318864331,-0.015728958,0.034,0.04,1,,,,
Rgs19,0.106565615,-0.015732273,0.185,0.209,1,,,,
Nos2,0.264710184,-0.015734164,0.14,0.156,1,,,,
Gm11131,0.15658522,-0.015758279,0.008,0.013,1,,,,
2310069B03Rik,0.008329073,-0.015762272,0.002,0.008,1,,,,
L3hypdh,0.007505922,-0.01577706,0.015,0.027,1,,,,
Gng4,0.242615705,-0.015800198,0.008,0.011,1,,,,
Bud13,0.335900999,-0.015834541,0.047,0.054,1,,,,
Glis2,0.045074933,-0.015842503,0.007,0.013,1,,,,
Dnajc27,0.064303849,-0.015844559,0.034,0.046,1,,,,
C1ra,0.131551507,-0.015844559,0.035,0.044,1,,,,
Gm26797,0.407330366,-0.015860907,0.009,0.012,1,,,,
G930009F23Rik,0.002887164,-0.015866747,0,0.005,1,,,,
1700016G22Rik,0.004507086,-0.015866747,0.001,0.005,1,,,,
Tmeff2,0.005908162,-0.015866747,0.001,0.006,1,,,,
Ap5s1,0.123938486,-0.015868634,0.074,0.088,1,,,,
Phldb2,0.035107348,-0.015873161,0.023,0.034,1,,,,
Bcl2l12,0.350072187,-0.015890188,0.049,0.056,1,,,,
Mta1,0.200509633,-0.015893891,0.918,0.913,1,,,,
Hsd3b7,0.196355352,-0.015894333,0.083,0.095,1,,,,
Ppfia3,0.016388795,-0.015903409,0.007,0.015,1,,,,
Maged1,0.8702982,-0.015916149,0.991,0.988,1,,,,
Ing5,0.284887638,-0.015932815,0.06,0.069,1,,,,
S100a16,0.13701147,-0.015956641,0.018,0.025,1,,,,
Upf2,0.511695173,-0.015972228,0.94,0.944,1,,,,
2010315B03Rik,0.261192675,-0.015975915,0.036,0.043,1,,,,
Slc22a17,0.494702744,-0.015981626,0.013,0.015,1,,,,
Cabyr,0.532506847,-0.015992312,0.027,0.03,1,,,,
Jam3,0.234937913,-0.015998947,0.02,0.026,1,,,,
Ankrd29,0.00175794,-0.016007168,0.008,0.019,1,,,,
Nrap,0.016582089,-0.016007168,0.003,0.009,1,,,,
Pde4d,8.17E-12,-0.016010809,0.999,0.999,1.81E-07,,,,
Natd1,0.073736818,-0.016024515,0.044,0.056,1,,,,
Nfkb1,0.693638752,-0.016033608,0.978,0.967,1,,,,
Qsox2,0.020774498,-0.016049599,0.024,0.037,1,,,,
Cbx6,0.054780296,-0.016049599,0.026,0.037,1,,,,
Gm35239,0.341217936,-0.016050656,0.002,0.004,1,,,,
Eif3i,0.00420002,-0.016053855,0.998,0.998,1,,,,
Apol9b,0.030036675,-0.01605854,0.012,0.021,1,,,,
Cbarp,0.082237769,-0.016084718,0.009,0.015,1,,,,
Gm15491,0.008532428,-0.016094547,0.004,0.01,1,,,,
Myh11,0.014924069,-0.016094547,0.002,0.006,1,,,,
Nol8,0.002635517,-0.016102001,0.119,0.155,1,,,,
D630045J12Rik,0.021429414,-0.016134184,0.023,0.035,1,,,,
C430014B12Rik,0.016550356,-0.016155568,0.002,0.007,1,,,,
Hsd17b2,0.058116594,-0.016155568,0.003,0.007,1,,,,
Dnajc28,0.215349635,-0.016155568,0.004,0.007,1,,,,
Mtap,0.117684384,-0.016180993,0.956,0.963,1,,,,
1600022D10Rik,0.701594706,-0.016188354,0.007,0.008,1,,,,
Cep70,0.557467465,-0.016194809,0.058,0.062,1,,,,
Dnah6,0.044599023,-0.016200066,0,0.003,1,,,,
Arhgef9,0.004606012,-0.01621635,0.004,0.011,1,,,,
G430095P16Rik,0.258477056,-0.016220298,0.011,0.015,1,,,,
Poglut3,0.128826445,-0.016224062,0.031,0.04,1,,,,
Cox6a1,0.012844767,-0.016230739,1,1,1,,,,
Tcf19,0.059076854,-0.016235964,0.018,0.027,1,,,,
Vps72,0.258338163,-0.01624257,0.888,0.899,1,,,,
1300017J02Rik,0.097709594,-0.016263941,0.01,0.016,1,,,,
Pdzd11,0.462988306,-0.016264603,0.908,0.926,1,,,,
Apol9a,0.023056701,-0.016276895,0.005,0.011,1,,,,
Mb21d2,0.205160479,-0.016279398,0.021,0.027,1,,,,
